Community Name,County,Park Name,Website,Total Acreage,Available Acreage,Purchase Price ,Ownership,TIF District,Min. Lot Size (Acres),Zoning,Certified Site,Certified by Who?,Max. Contiguous Acreage,Contact,Phone,Email,Latitude,Longitude
Middleton,Dane,Airport Road Business Park,http://www.ruedebusch.com/brokerage,200+,39.6,$348480 to $544500 per Acre; $8 to $12.50 per SF,Private (Multiple Owners),TIF #3,2.4,PDD ,No,N/A,18.9,Tom Phillips,608-243-9070,tomp@ruedebusch.com,43.109924,-89.527051
Middleton,Dane,The Middleton Corporate Center,http://www.T5RE.com,80,28,$6.95 to $8.25 per SF,Private; entities related to the Blettner Group,TIF #3,3.33,PDD ,No,N/A,15,Timothy Carey,608-826-4552,tim@t5re.com,43.107294,-89.529884
Middleton,Dane,Greenway Center,http://madison.artisreit.com/about/contact-us/,62,4,Lease Only; $18.50 - $24.00 per SF Triple Net,Artis REIT,TIF #3,0.5,PDD ,No,N/A,2.25,Brett Riemen,608-830-6308,briemen@artisreit.com,43.090904,-89.52997
Mazomanie,Dane,Mazomanie Industrial Park,www.VillageOfMazomanieWi.gov,52,35.56,Negotiable,Municipal - ROS No. 14 LLC - Fred Wolf - JFW Holdings LLC,TIF #4,None,I-1 Industrial,No,N/A,30,Gary Harrop,608-795-2120,gharrop@thepeoplescommunitybank.com,43.171326,-89.810986
Mount Horeb,Dane,North Cape Commons,http://www.ruedebusch.com/brokerage,32.58,28.5,$4.00 to $8.25 per SF; $174240 - $359370 per Acre,Private,Yes,1.5,Planned Industrial (Office/Retail/Hospitality),No,N/A,11.2,Tom Phillips,608-243-9070,tomp@ruedebusch.com,43.009585,-89.714334
Springfield,Dane,Schneider Road Business Center,https://www.thestorageguy-madison.com/Business-Space/Schneider-Business-Centre/,,Lots 2 4 & 6,$8.50 per SQF,Jim Wills (private owner),TIF approved in late 2014,20700 SF,Commercial (C-2),No,N/A,4.42,Jeff Daugherty,608-695-9597,Shamrockllc@charter.net,43.120622,-89.518983
Springfield,Dane,Spingfield Corners Commercial Center,http://www.united-land.com/,55,9.1,$3.25 per SF; $141570 per acre,United Land Dev. Corp,No,1.9,C-2 Commercial,No,N/A,4.4,Daniel Ward,608-770-1414,dan@united-land.com,43.188647,-89.55249
Sun Prairie,Dane,Sun Prairie Business Park,http://www.cityofsunprairie.com/288/Key-Development-Opportunities,420,88,$2.00 to $3.00 per SF; $87120 to $130680 per acre,Municipal and Private,#12,1,Suburban Industrial,No,N/A,64,Neil Stechschulte,608-825-1107,nstechschulte@cityofsunprairie.com,43.200698,-89.208019
Sun Prairie,Dane,Sun Prairie TIF #9,http://www.cityofsunprairie.com/288/Key-Development-Opportunities,24.92,7.96, $8 to $12 per SF; $349480 to $522720 per acre,Municipal ,TIF #9,N/A,Suburban Office,No,N/A,3.44,Neil Stechschulte,608-825-1107,nstechschulte@cityofsunprairie.com,43.157154,-89.268796
Verona,Dane,Verona Technology Park,http://propertydrive.com/search/property.asp?proptype=1&propid=2204,250,139.2,$3 to $12 per SF depending on size & location,Anorev LLC,Yes,1.5,Suburban Commercial Suburban Industrial Suburban Employment,No,N/A,40+,Alex Weis,608-833-2929,aweis@liveseyco.com,42.971016,-89.509703
Verona,Dane,Liberty Business Park,Soon to come,253,125+ ,$3 to $12 per SF; Negotiable depending on size & location,Private: David Reinke,TIF #6,2,Suburban Industrial available for office space,Yes,WEDC,125+,David Reinke,608-320-1334,david@lbrty.com,42.974695,-89.506946
Vienna,Dane,Vienna Business Center,No Website,80,4,Negotiable,Privately owned by Gene C Evans,No,4,B-2 Highway Industrial,No,N/A,Call Gene Evans,Gene C Evans,608-212-0375,tovcleark@centurytel.net,43.244573,-89.380903
Waunakee,Dane,Waunakee Business Park,www.waunakeebusinesspark.com,160,86,$2.50/sf to $5.00/sf,Private: MLG Investments 2000 LLC,Yes,3,PUD,No,N/A,60,Chuck Redjinski,608-663-6000,ckr@mlgcommercial.com,43.185086,-89.433947
West Port,Dane,North Mendota Energy and Tech. Park,http://www.ruedebusch.com/brokerage,57,57,$3.50 to $6.00 per SF; $152460 to $261360,Private,Not currently may be started soon,5,C2 Industrial and Commercial,Yes ,WEDC,56.8,Tom Phillips,608-243-9070,tomp@ruedebusch.com,43.159985,-89.409592
Beaver Dam,Dodge,Lakeside Business Park,No Website,86,40.2,Negotiable; Depending on tax base & job creation,City of Beaver Dam,TIF #4,1,Light & Heavy Manufacturing,No,N/A,15.5,Trent Campbell,920-887-4661,bdadc@cityofbeaverdam.com,43.483048,-88.832467
Beaver Dam,Dodge,Beaver Dam Business Park,No Website,128,10,Negotiable; Depending on tax base & job creation,City of Beaver Dam,TIF #4,2,Light Manufacturing,No,N/A,10,Trent Campbell,920-887-4661,bdadc@cityofbeaverdam.com,43.48104,-88.811781
Beaver Dam,Dodge,Beaver Dam 151 Business Park ,http://www.inwisconsin.com/select-wisconsin/available-sites/certified-in-wisconsin/beaver-dam-wisconsin/,196.6,144.7,Negotiable; Depending on tax base & job creation,City of Beaver Dam,TIF #7,1,Light Manufacturing,Yes,State of WI,144.7 Contiguous Developable Land,Trent Campbell,920-887-4661,bdadc@cityofbeaverdam.com,43.488793,-88.818069
Fox Lake,Dodge,Fox Lake Industrial Park,http://www.cityoffoxlake.org/zoning.html,62,13,$1/acre if development level is acceptable,Controlled by Fox Lake Redev. Authority owned by the city (check),Formerly #1 #2 in progress,1,Industrial,No,N/A,28,Dean Perlick,920-928-2280,cityadmin@cityoffoxlake.org,43.556024,-88.916302
Horicon,Dodge,Phase II Business Park,http://www.cityhoriconwi.us/188/Business-Park,150,120,$18000 per acre (negotiable),City Owned,Yes new TIF in 2016,2,Industrial,No,N/A,120,Jim Schaefer,920-485-3500 x3507,jschaefer@cityhoriconwi.us,43.446025,-88.671856
Hustisford,Dodge,Hustisford Industrial Park,http://www.hustisford.com/,11.7,10,$23931 per acre,Municipal,Not divided into lots yet,None,R1,No,N/A,Possibly 136 acre to be annexed to the township.,Kim Hopfinger,920-349-3188,khopfinger@hustisford.com,43.336146,-88.600595
Juneau,Dodge,Juneau Industrial Park,http://www.cityofjuneau.net/2180/Industrial-Park,80,35,$8500 per acre (negotiable),Municipal,TIF #2,0.5,I-2 Industrial,No,N/A,~26,City Clerk,920-386-4800,cityhall@cityofjuneau.net,43.399446,-88.703356
Mayville,Dodge,River Knoll Industrial Park,http://www.mayvilleindustrialpark.com/,111.69,74.46,$1/Acre with development valued at $225000/Acre of property acquired,City of Mayville,TIF #3,1,M-2 Gen Manufacturing,Yes,A plat of the Industrial Park is certified by the Department of Administration,Could Vary due to road construction,Nathan Kempke,608-387-7906 x1223,nkempke@mayvillecity.com,43.509168,-88.54856
Randolph,Dodge,Randolph Business Park,No Website,28.5,17.9,$10000 to $15000 per acre (negotiable),Municipal,TIF #2,6,B2-Hwy. Commercial,No,N/A,10.4,Nick Weinberger,920-382-3469,fireguy6339@gmail.com,43.528991,-89.003012
Waupun,Dodge,Waupun Business Park,https://www.service-life.com/wi/cityofwaupun/economicdevelopment/Waupun%20Business%20Park%20map%204-20-09.pdf,95,95,Starting at $20000 per acre,Municipal,TIF #1,5,M-2,No,N/A,200,Kathy Schlieve,920-324-7912,kathy@cityofwaupun.org,43.616516,-88.726273
Monroe,Green,Monroe Business and Industrial Park,No Website,115,7.5,Fair Market Value/Negotiable/$1.00 for qualifying projects,Municipal,Yes expenditure period has expired,1,Industrial (M3),No,N/A,7.5,Martin Shanks,608-329-2521,mshanks@cityofmonroe.org,42.614013,-89.623547
Arena,Iowa,US 14 & Ray Hollow Rd.,http://www.realtor.com/realestateandhomes-detail/US-Highway-14_Arena_WI_53503_M88394-37509,88.29,88.29,Call for Pricing,Private: Gail and Lois Arzt,Yes,N/A,Commercial Development,No,N/A,88.29,Kevin Visel,608-556-2088,kevin@acresllc.net,43.160016,-89.897475
Dodgeville,Iowa,Dodgeville Business Park,http://www.cityofdodgeville.com/index.asp?SEC=BE944D66-5877-46B8-9683-C7DEEFF2F0EB&Type=B_BASIC,62.33 in TIF; 51.86 contiguous to TIF,42 in TIF; 51.86 contiguous to TIF,Negotiable,City of Dodgeville and Private,TIF #2,0.8 acres,Limited Industrial in TIF,No,N/A,94,Phyllis Fritsch,608-930-5091 x1,economic@ci.dodgeville.wi.us,42.973592,-90.113769
Highland,Iowa,Highland Industrial Park,http://www.villageofhighland.net/,15,4,$8300 per acre,Municipal,Yes,4,Manufacturing,No,N/A,4,Becky Fredericks,608-929-7781,bfredericks@villageofhighland.net,43.050293,-90.375094
Muscoda,Iowa,Muscoda Industrial Park - Site B,https://muscoda.files.wordpress.com/2012/06/industrial-park.pdf,360,22.5,$5500 per acre + business case breakdown,Municipal,Yes,1 acre,Industrial,No,N/A,14 acres,Cinda Johnson,608-739-3182,cljohnson@wppienergy.org,43.182326,-90.421193
Fort Atkinson,Jefferson,Robert L. Klement Business Park,http://x.lnimg.com/attachments/0979E2D9-9DAA-4309-B134-20F561D4D4F7.pdf,163,89-106,$20000-$40000 per acre,Municipal,TIF #6,2,Heavy Industrial,No,N/A,30-47 (17 Private for Sales),Christian Chambers,608-239-8277,christian.chambers@cbre.com,42.893144,-88.860426
Johnson Creek,Jefferson,East Industrial Area,No Website,105,105,Negotiable,Private,No,20000 SF,Mixed Use Business Park,No,N/A,105,Kyle Ellefson,920-699-2296,kylee@johnsoncreekwi.org,43.08115,-88.752487
Johnson Creek,Jefferson,Crossroads Business Park,http://www.loopnet.com/Listing/13838227/I-94-and-Hwy-26-Johnson-Creek-WI/,48,~37,$64000 to $175000 per acre,Private,TIF #3,20000 SF,Planned Industrial,No,N/A,~17,Charles K. Redjinski,608-663-6006,credjinski@mlgcommercial.com,43.091703,-88.76745
Johnson Creek,Jefferson,North Business Park,No Website,86,64,Negotiable,Municipal,TIF #3,20000 SF,Mixed Use,No,N/A,23,Kyle Ellefson,920-699-2296,kylee@johnsoncreekwi.org,43.094449,-88.760394
Johnson Creek,Jefferson,South Business Park,No Website,28,28,Negotiable,Private,No,20000 SF,General Business,No,N/A,28,Kyle Ellefson,920-699-2296,kylee@johnsoncreekwi.org,43.074765,-88.767288
Johnson Creek,Jefferson,North Industrial Area,No Website,67,67,Negotiable,Private,TIF #3,20000 SF,Industrial,No,N/A,44,Kyle Ellefson,920-669-2296,kylee@johnsoncreekwi.org,43.0155591,-88.7998271
Lake Mills,Jefferson,Lake Mills Business Park,No Website,205.43,64.85,$17000 per acre ,Municipal,TIF #2 & #6,2,Planned Industrial,No,N/A,25.43,Steven Wilke,920-648-2344,swilke@ci.lake-mills.wi.us,43.075827,-88.896732
Waterloo,Jefferson,Waterloo Business Park,http://www.waterloowi.us/municipal-website/economic-development,38,15,$20000 per acre,Private,TIF #2,1,Heavy Industrial,No,N/A,15,Mo Hansen,920-478-3025,cityhall@waterloowi.us,43.190806,-88.977622
Waterloo,Jefferson,Southeast Industrial Park,No Website,152,152,Negotiable,Private,No,None,Agricultural,No,N/A,152,John Sheehy ,920-202-5086,N/A,43.180513,-88.975398
Whitewater,Jefferson,Whitewater Business Park,https://whitewatertechpark.org/,318,92,"$34,000 per acre",Municipal,4,20000 SF,Business Industrial Park,No,N/A,42,Pat Cannon,262-473-0148,pcannon@whitewater-wi.gov,42.839964,-88.713981
Whitewater,Jefferson,Whitewater University Technology Park,http://www.whitewatertechpark.org/,130,43.4,$43000 per acre,Municipal,TIF #4 (Distressed),No less than 1 acre,Commercial,Yes,Deloitte,No maximum,Mark Johnson,262-472-5290,johnsomw@uww.edu,42.838854,-88.704944
Town of Beloit,Rock,Townline/Walters Road,http://www.rockcountyalliance.com/Portals/1/Townline%20Road%20Business%20Park%20(T%20of%20Beloit%20WI).pdf,100,65,$10000 to 15000 per acre,Public,No,3,Industrial,No,N/A,65,Ian Haas,608-364-2980,ihaas@town.beloit.wi.us,42.582075,-89.039598
Beloit,Rock,Gateway Business Park,http://www.rockcountyalliance.com/portals/1/images/aerial-photos/Gateway-Aerial.jpg,450,229,$30000 to $40000 per acre,Public,Yes,2,Industrial,Yes,WEDC & Ady-Austin,80,Andrew Janke,608-364-6748,Jankea@beloitwi.gov,42.51607,-88.967779
Clinton,Rock,Clinton Industrial Park,http://www.rockcountyalliance.com/Portals/1/images/aerial-photos/Clinton-Aerial.jpg,64.4,10+,$15000 per acre,Public,Yes,1,Industrial,No,N/A,19.3,David Hooker,608-676-5140,dhooker@clintonwi.us,42.551267,-88.876734
Edgerton,Rock,Edgerton Business Park,http://www.cityofedgerton.com/edgerton-business-park-documentation,47,41.9,$15000 to $19900 per acre,City of Edgerton,TIF #5,3,M-1 Industrial Light,Yes,Ady International,15.5,Ramona Flanigan,608-884-3341,rflanigan@cityofedgerton.com,42.856255,-89.05458
Evansville,Rock,Evansville Business Park,http://www.rockcountyalliance.com/available-properties/shovel-ready-sites,40,40,Negotiable,Private ,Yes,1,Industrrial & Commercial,No,N/A,20,Jason Sergeant,608-882-2285,Jason.sergeant@ci.evansville.wi.gov,42.777847,-89.27207
Footville,Rock,Footville Business Park,http://www.rockcountyalliance.com/portals/1/images/aerial-photos/Footville-Aerial.jpg,30,1.36,Negotiable,Municipal,TIF #1,1.36,Industrial,Yes,MSA Professional Services,41,Julie Gerke,608-876-6116,Footville@T6B.com,42.665654,-89.205637
Janesville,Rock,State Highway 11 Business Park,http://www.rockcountyalliance.com/available-properties/shovel-ready-sites,224,71,$36000 per acre,Public,Yes,10,Industrial,Yes,WEDC & Ady-Austin,71,Gale Price,608-755-3059,priceg@ci.janesville.wi.us,42.632906,-89.017797
Janesville,Rock,Midlands Office Park,http://www.rockcountyalliance.com/Portals/1/Midlands%20Business%20Park%20Flyer.pdf,11.6,4.6 or 7 acre lot (will subdivide),$2.4M (7 acre) or $1.4M (4.6 acre) or $8 per SF,Starbrite LLC,No,2,B-4 & O-1,No,N/A,4.6,Bill Mears,608-752-6325,bill@mcguiremears.com,42.672735,-88.981643
Janesville,Rock,East Side Business Park,http://www.rockcountyalliance.com/Portals/1/EastSideBusParks.pdf,125,30,$22096 per acre,Public,Yes,4,Industrial,No,N/A,19.6,Gale Price,608-755-3059,priceg@ci.janesville.wi.us,42.675531,-88.963208
